KEY_CODE,T000751001,T000751002,T000751003,T000751004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
52397164,3811,1864,1947,1076
52397165,1036,511,525,265
52397166,51,31,20,2
52397167,268,141,127,68
52397168,1401,684,717,378
52397169,3826,1871,1955,1207
52397170,3050,1477,1573,979
52397171,4944,2426,2518,1693
52397172,1463,702,761,487
52397173,937,464,473,244
52397174,559,277,282,128
52397177,580,281,299,166
52397178,3339,1667,1672,994
52397179,5119,2510,2609,1766
52397180,1476,767,709,466
52397181,609,289,320,157
52397182,2683,1392,1291,870
52397183,1639,778,861,472
52397185,174,77,97,37
52397187,2345,1231,1114,790
52397188,353,173,180,89
52397189,661,316,345,175
52397190,2191,1108,1083,738
52397191,1178,604,574,380
52397192,2600,1373,1227,902
52397193,627,323,304,163
52397196,156,78,78,39
52397197,194,94,100,52
52397198,546,274,272,150
52397199,40,29,11,24
52397250,3383,1644,1739,1235
52397251,1372,664,708,428
52397260,5169,2530,2639,1745
52397261,4046,1993,2053,1294
52397262,4083,2048,2035,1347
52397263,1868,929,939,598
52397264,1335,656,679,442
52397265,967,464,503,317
52397270,2914,1524,1390,960
52397271,3173,1537,1636,936
52397272,3264,1636,1628,1127
52397273,544,262,282,171
52397274,3504,1691,1813,1207
52397275,6181,3009,3172,2001
52397276,2098,1002,1096,668
52397277,2209,1102,1107,759
52397278,375,177,198,141
52397279,243,126,117,82
52397280,227,117,110,60
52397281,330,157,173,80
52397282,721,349,372,180
52397283,10,5,5,4
52397284,368,194,174,100
52397285,1360,651,709,439
52397286,6988,3493,3495,2371
52397287,11915,6003,5912,4446
52397288,9849,4820,5029,3576
52397289,3848,1898,1950,1230
52397290,395,198,197,129
52397291,94,21,73,2
52397292,11,7,4,4
52397293,679,349,330,190
52397294,7682,3821,3861,2399
52397295,8908,4416,4492,2815
52397296,8059,4010,4049,2894
52397297,11413,5637,5776,4467
52397298,8823,4448,4375,3671
52397299,978,518,460,311
52397357,15,8,7,6
52397358,116,59,57,48
52397367,2,1,1,1
52397368,653,320,333,236
52397369,1376,656,720,436
52397370,1,0,1,1
52397371,20,12,8,7
52397377,418,195,223,160
52397378,6723,3236,3487,2627
52397379,8160,3966,4194,2879
52397380,8589,4247,4342,3170
52397381,9513,4737,4776,3572
